name,level,sex,ctime,rcount,like,content
晏几道弯,6,保密,1549105587,4,1182,读b站用户的评论改机器了，是怕笑场吗哈哈哈哈哈哈
小卡塔克,6,男,1549105318,14,1244,第三集！更新啦！他lei了，lei了
这里的大家再见啦,5,女,1549105524,3,653,真的用Siri读评论了哈哈哈 制作组人才(｀・ω・´)
丧尸嘤嘤嘤怪,6,保密,1549199296,2,271,"第一个电灯罩漏水的av号：av41297781
第二个圣罗兰赶客的av号：av38512103
第三个11月用水破百吨的av号：av38779398
第四个陈大姐被王董故意拖欠工资的av号：av40299737
[2233娘_无言][2233娘_无言]"
肥猫和地鼠,5,女,1549105617,9,218,刚刚在电视上看~
-喧嚣之风-,6,男,1549106865,2,145,我只想知道王董家4个小孩进孤儿院没。
李私心,6,女,1550927791,11,164,"看到那个店员撵人出去的   想起上次我和窝妈去vans店   
我妈坐着  然后我看鞋看衣服   
可能是因为我和我妈的着装  看着就感觉我们买不起什么东西
问店员价格都是那种爱理不理的   
然后又来了一对情侣  店员就全都主动凑上去讲细节构造吧啦吧啦的什么的   
后面那对情侣看五六分钟   那个女生选了双鞋子  就说想要  然后一问价格  六百多  男生就马上拉着女生走了   
然后我这边不动声色的拿了一件外套和两件卫衣   我妈拿了件羽绒服    结账的时候
3000+
那些店员的表情都贼震惊23333(｀・ω・´)"
蝎小萌,6,男,1549147744,7,130,这集看着很憋屈啊，没有后续的报道吗？只看一个神经逻辑没有后续制裁他的报道，让人感觉很不爽啊
旻旻的圆仔鸭,4,女,1550930254,3,58,俺记得有一天我跟我妈出门，家里洗衣机在洗衣服，结果水龙头不知道咋回事，漏了，水淌到了下一楼，还被报警叫人把我们家锁给砸开了，我们回家一脸懵逼，然后就是一系列盗窃，还有付被砸锁换锁的钱，后来楼下的一个老女人就找上门来，说这个给她带来了麻烦，我现在想想几百不就走了么，结果当时我父母好像给了四五千，woc想想就懵逼🌚🌚
jfier,6,保密,1550398576,0,65,其实最后那个保姆大姐真的看着心疼，其实很多所谓的“合同”或工作是没有这么正规的手续的，就算找劳动局一拖也不知道要多久，真的很多低层劳动没么这么强的法律认知，大多还是抱着你信我，我信你的君子心态。这样就让很多有知识但无耻的人钻了空子，唉
莴笋黄豆芽,6,女,1549167058,0,69,欠人工资有意思吗？请不起就不要请，请了人又磨磨唧唧不过钱。有点恶心这种人
