name,level,sex,ctime,rcount,like,content
磨洋工,6,保密,1548500977,22,5872,"笑死我了，太皮了。(°∀°)ﾉ
支持b站最强综艺！"
和蔼可亲の杨叔,6,男,1548501497,80,4541,你找孙经理关我孙师傅什么事情[蛆音娘_滑稽]
鹿菌酱,6,保密,1548500705,9,3027,B站最强综艺[小电视_赞]二月霸权！[2233娘_大笑]
_Shiyachi_,5,女,1548500793,3,1242,电视手机二重奏
哲学家伽利略,6,男,1548572154,9,669,"根据薛定谔的理论，校长在采访前处于量子叠加状态，存在在学校和不在学校两种可能性，记者登门拜访使叠加态塌缩为一个，所以校长不在。
还有一种解释为在记者拜访校长时，叠加态塌缩，分裂为两个世界，也就是说在另一个世界校长是没有跑路的，这合情合理嘛，毕竟人家是教量子力学的。（求热评）"
观众七十九号,5,保密,1548572265,2,492,为什么头发烫坏了，因为没有使用光的波粒二象性原理来烫。你还要和我量子纠缠，要我退钱，就算你要退钱你去找孙经理啊，关我孙师傅什么事。
dsgjsh,6,女,1548501064,5,684,av40964489
秩序中变化的你,6,男,1548506448,1,240,惊了被挂出来念评论真的好羞耻啊[2233娘_吐魂]
葱明的皮鼓,6,男,1548579256,2,178,"不是找不到校长，只是未观测前校长处于一种“半在半不在”的状态...只有在观察着介入后才可以确定为在还是不在
老师解释道[小电视_笑]"
LuckyE丶幻天酱,6,保密,1552153814,1,156,现在人估计更怕黄金眼了，以前是电视前的叔叔阿姨哥哥姐姐吐槽，现在连B站年轻人都盯上了，估计鬼畜区集体追番了都。
阿Q_Q,6,男,1548554678,8,153,"量子纠缠~光的波粒二相性(我有没有打错啊）[2233娘_郁闷]
这个是开发超能力的课程吗？[正经人_欢呼]"
xzx20070732,6,男,1548505285,0,80,那个权健的新闻本来应该很严肃的，看到后半段越看越欢乐，“做火锅的”“我们年轻人”“只剩下健字”“这里的人有钱”
疯冷,5,保密,1548520558,0,61,“王助理，就两个问题嘛～上次不是聊的蛮愉快的嘛～”脑补一个臭流氓调戏良家妇女，画面刚刚好～哈哈哈哈哈哈
装甲空母大凤,6,女,1548551597,0,60,当林校长没接受采访时 他正处在咕咕咕和要来接受采访的量子叠加态中
